law_id,state,bill_number,title,enactment_date,effective_date,status,primary_source_url,local_text_path,source_format,transport_policy,expected_raw_sha256,expected_text_marker,amends_law_id,inactive_from_date,superseded_by_law_id,mixed_effective_dates,collection_status,notes
CA-2025-SB243,CA,SB243,Companion Chatbots,2025-10-13,2026-01-01,enacted,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB243,data/raw/full/CA-2025-SB243.txt,html,strict,,,,,,true,ready,Chapter 677; core duties begin 2026-01-01 and reporting begins 2027-07-01
CA-2025-AB853,CA,AB853,California AI Transparency Act Amendments,2025-10-13,2026-08-02,enacted,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB853,data/raw/full/CA-2025-AB853.txt,html,strict,,,CA-2024-SB942,,,false,ready,Chapter 674; amended transparency act operative 2026-08-02
CA-2024-AB2013,CA,AB2013,Generative AI Training Data Transparency,2024-09-28,2026-01-01,enacted,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2013,data/raw/full/CA-2024-AB2013.txt,html,strict,,,,,,false,ready,Public training-data disclosure
CA-2025-AB316,CA,AB316,Artificial Intelligence Defenses,2025-10-13,2026-01-01,enacted,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB316,data/raw/full/CA-2025-AB316.txt,html,strict,,,,,,false,ready,AI-specific liability-defense and scope rule
CA-2025-AB489,CA,AB489,Health Care Professions AI Deceptive Terms,2025-10-11,2026-01-01,enacted,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB489,data/raw/full/CA-2025-AB489.txt,html,strict,,,,,,false,ready,Health-profession representation restriction
CA-2025-SB53,CA,SB53,Transparency in Frontier Artificial Intelligence Act,2025-09-29,2026-01-01,enacted,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB53,data/raw/full/CA-2025-SB53.txt,html,strict,,,,,,true,ready,Frontier safety law with mixed operative dates
CA-2024-AB3030,CA,AB3030,Health Care Services Artificial Intelligence,2024-09-28,2025-01-01,enacted,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB3030,data/raw/full/CA-2024-AB3030.txt,html,strict,,,,,,false,ready,Patient-facing generative AI disclosure
CO-2026-SB189,CO,SB26-189,Automated Decision-Making Technology,2026-05-14,2026-05-14,enacted,https://leg.colorado.gov/bill_files/116489/download,data/raw/full/CO-2026-SB189.txt,pdf,strict,,,CO-2024-SB205,,,true,ready,Repeal and reenactment; many duties begin 2027-01-01
CO-2026-HB1263,CO,HB26-1263,Conversational AI Service Operator Requirements,2026-05-29,2027-01-01,enacted,https://leg.colorado.gov/bill_files/116851/download,data/raw/full/CO-2026-HB1263.txt,pdf,strict,,,,,,false,ready,Substantive operator requirements begin 2027-01-01
CT-2023-SB1103,CT,SB1103,Public Act 23-16,2023-06-07,2023-06-07,enacted,https://cga.ct.gov/2023/act/PA/PDF/2023PA-00016-r00sb-01103-pa.pdf,data/raw/full/CT-2023-SB1103.txt,pdf,official_host_tls_fallback,2bfb035054c6399424eaba95bb7cf3abc3fdfefaa97dcb95eef9d4590a5c586a,Public Act No. 23-16,,,,true,ready,State-agency AI duties have mixed dates
CT-2025-SB1295,CT,SB1295,Public Act 25-113,2025-06-24,2026-07-01,enacted,https://cga.ct.gov/2025/act/Pa/pdf/2025PA-00113-R00SB-01295-PA.PDF,data/raw/full/CT-2025-SB1295.txt,pdf,official_host_tls_fallback,,Public Act No. 25-113,,,,true,ready,Omnibus privacy act; AI profiling sections principally effective 2026-07-01
CT-2026-SB5,CT,SB5,Public Act 26-15,2026-05-27,2026-05-27,enacted,https://cga.ct.gov/2026/act/Pa/pdf/2026PA-00015-R00SB-00005-PA.PDF,data/raw/full/CT-2026-SB5.txt,pdf,official_host_tls_fallback,,Public Act No. 26-15,,,,true,ready,Large online-safety and AI act with mixed operative dates
IL-2024-HB3773,IL,HB3773,Public Act 103-0804,2024-08-09,2026-01-01,enacted,https://www.ilga.gov/legislation/PublicActs/View/103-0804,data/raw/full/IL-2024-HB3773.txt,html,strict,,,,,,false,ready,Employment AI discrimination and notice
