source_id,source_type,title,publisher,date,url,use
white_house_framework,federal_policy,National AI Legislative Framework,White House,2026-03-20,https://www.whitehouse.gov/releases/2026/03/president-donald-j-trump-unveils-national-ai-legislative-framework/,Defines current federal uniformity proposal
eo_14365,executive_order,Ensuring a National Policy Framework for Artificial Intelligence,White House,2025-12-11,https://www.whitehouse.gov/presidential-actions/2025/12/eliminating-state-law-obstruction-of-national-artificial-intelligence-policy/,Defines evaluation directive and express carve-outs
ncsl_database,legislation_database,Artificial Intelligence Legislation Database,NCSL,2026-08-01,https://www.ncsl.org/financial-services/artificial-intelligence-legislation-database,Discovery universe for 2025 onward
ncsl_trends,secondary_summary,New Trends Emerge as States Refine AI Legislation,NCSL,2026-08-01,https://www.ncsl.org/state-legislatures-news/details/new-trends-emerge-as-states-refine-ai-legislation,Issue taxonomy and discovery cross-check
co_sb25b_004,state_amendment,Increase Transparency for Algorithmic Systems,Colorado General Assembly,2025-08-28,https://leg.colorado.gov/bills/sb25b-004,Documents delay of SB24-205 requirements to 2026-06-30
co_sb26_189,state_statute,Automated Decision-Making Technology,Colorado General Assembly,2026-05-14,https://leg.colorado.gov/bills/SB26-189,Documents repeal and reenactment of Colorado AI provisions and mixed operative dates
il_pa_103_0804,state_statute,Public Act 103-0804,Illinois General Assembly,2024-08-09,https://www.ilga.gov/legislation/PublicActs/View/103-0804,Employment AI discrimination and notice pilot source
ca_ab3030,state_statute,Health Care Services Artificial Intelligence,California Legislative Information,2024-09-28,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB3030,Health-care GenAI disclosure pilot source
ct_pa_23_16,state_statute,Public Act 23-16,Connecticut General Assembly,2023-06-07,https://www.cga.ct.gov/2023/act/Pa/pdf/2023PA-00016-R00SB-01103-PA.PDF,State-government AI impact-assessment pilot source
wa_2026_c168,state_statute,Chapter 168 Laws of 2026,Washington State Legislature,2026-03-24,https://lawfilesext.leg.wa.gov/biennium/2025-26/Htm/Bills/Session%20Laws/House/2225-S.SL.htm,Future-effective AI companion chatbot and child-safety pilot source
ny_s8828,state_amendment,RAISE Act Chapter Amendment S8828,New York State Senate,2026-03-27,https://www.nysenate.gov/legislation/bills/2025/S8828,Controlling amendment to New York frontier-model transparency and safety law; effective 2027-01-01
